ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.cap_len
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
192.168.43.202,52.35.83.137,6,42436,443,,,66
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
99.86.42.86,192.168.43.202,6,443,51032,,,78
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
99.86.42.86,192.168.43.202,6,443,51032,,,66
99.86.42.86,192.168.43.202,6,443,51032,,,66
192.168.43.202,99.86.42.86,6,51032,443,,,66
13.233.76.15,192.168.43.202,6,443,48528,,,78
13.233.76.15,192.168.43.202,6,443,48528,,,66
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
13.233.76.15,192.168.43.202,6,443,48528,,,1424
192.168.43.202,13.233.76.15,6,48528,443,,,54
13.233.76.15,192.168.43.202,6,443,48528,,,100
192.168.43.202,13.233.76.15,6,48528,443,,,54
13.233.76.15,192.168.43.202,6,443,48528,,,498
192.168.43.202,13.233.76.15,6,48528,443,,,54
13.233.76.15,192.168.43.202,6,443,48528,,,66
192.168.43.202,13.233.76.15,6,48528,443,,,54
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
192.168.43.202,117.18.237.29,6,47890,80,,,66
199.232.22.217,192.168.43.202,6,443,34318,,,1424
117.18.237.29,192.168.43.202,6,80,47882,,,66
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
52.35.83.137,192.168.43.202,6,443,42436,,,66
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
117.18.237.29,192.168.43.202,6,80,47890,,,66
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
199.232.22.217,192.168.43.202,6,443,34318,,,1424
192.168.43.202,199.232.22.217,6,34318,443,,,94
