ipv6.src,ipv6.dst,ipv6.nxt,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.cap_len
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:811::2003,6,53764,80,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4009::a,6,51820,443,,,86
2404:6800:4002:811::2003,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,53770,,,86
2404:6800:4002:805::2001,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,34274,,,86
2404:6800:4002:805::2001,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,34274,,,125
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:805::2001,6,34274,443,,,86
2404:6800:4002:811::2003,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,53764,,,86
2404:6800:4009::a,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,51820,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2405:200:1630:1200::312c:b393,6,49934,80,,,86
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,98
2404:6800:4002:811::2003,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,53764,,,86
2404:6800:4009::a,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,51820,,,86
2405:200:1630:1200::312c:b393,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,49934,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:804::200e,6,48008,443,,,160
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:804::200e,6,48008,443,,,391
2409:4051:28f:a045:9895:7c:f6f4:15dd,2405:200:1630:1200::312c:b393,6,49956,80,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:811::2003,6,53766,80,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:811::2003,6,53762,80,,,86
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,86
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,86
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,156
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,152
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,117
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,125
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:804::200e,6,48008,443,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:804::200e,6,48008,443,,,125
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:811::2003,6,53766,80,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:811::2003,6,53768,80,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:811::2003,6,53762,80,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2405:200:1630:1200::312c:b393,6,49956,80,,,86
2405:200:1630:1200::312c:b393,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,49956,,,86
2404:6800:4002:811::2003,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,53766,,,86
2404:6800:4002:811::2003,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,53762,,,86
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:811::2003,6,53768,80,,,86
2405:200:1630:1200::312c:b393,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,49956,,,86
2404:6800:4002:811::2003,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,53768,,,86
2404:6800:4002:811::2003,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,53766,,,86
2404:6800:4002:811::2003,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,53762,,,86
2404:6800:4002:811::2003,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,53768,,,86
fe80::a25:25ff:fe1b:466d,ff02::16,0,,,,,90
fe80::a25:25ff:fe1b:466d,ff02::16,0,,,,,90
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:811::2003,6,53682,80,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:811::2003,6,53684,80,,,86
fe80::a25:25ff:fe1b:466d,ff02::fb,17,,,5353,5353,177
fe80::a25:25ff:fe1b:466d,ff02::16,0,,,,,90
fe80::a25:25ff:fe1b:466d,ff02::fb,17,,,5353,5353,177
fe80::a25:25ff:fe1b:466d,ff02::fb,17,,,5353,5353,177
fe80::a25:25ff:fe1b:466d,ff02::fb,17,,,5353,5353,432
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:811::2003,6,53770,80,,,86
2404:6800:4002:811::2003,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,53684,,,86
2404:6800:4002:811::2003,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,53682,,,86
fe80::a25:25ff:fe1b:466d,ff02::fb,17,,,5353,5353,432
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:811::2003,6,53770,80,,,86
