udp.stream,frame.number,dns.id,dns.qry.name,dns.qry.type
0,480,0x00009954,clients1.google.com,1
1,481,0x000079b6,clients1.google.com,28
2,657,0x00009954,clients1.google.com,1
1,658,0x000079b6,clients1.google.com,28
3,735,0x000075f6,ac.duckduckgo.com,1
4,736,0x00006554,ac.duckduckgo.com,28
7,1059,0x0000aea0,duckduckgo.com,28
8,1145,0x00006c91,www.instagram.com,1
9,1146,0x0000a52e,www.instagram.com,28
10,1382,0x0000a52e,www.instagram.com,28
11,2377,0x00003dac,connect.facebook.net,1
12,2378,0x00005175,connect.facebook.net,28
13,2671,0x00007033,graph.instagram.com,1
14,2672,0x00009d3c,graph.instagram.com,28
15,4028,0x00000a47,music.youtube.com,1
16,4029,0x000030fe,music.youtube.com,28
17,4395,0x0000f6fd,fonts.googleapis.com,1
18,4396,0x00001f28,fonts.googleapis.com,28
19,4452,0x0000939a,s.ytimg.com,1
20,4453,0x000052a5,s.ytimg.com,28
21,4456,0x0000c54e,fonts.gstatic.com,1
22,4457,0x0000fb71,fonts.gstatic.com,28
23,4585,0x00005883,incoming.telemetry.mozilla.org,1
24,4708,0x00005883,incoming.telemetry.mozilla.org,1
25,5046,0x0000cc6a,ssl.gstatic.com,1
26,5047,0x00003ebe,ssl.gstatic.com,28
27,5048,0x000023a6,lh3.googleusercontent.com,1
28,5049,0x00008453,lh3.googleusercontent.com,28
29,5349,0x0000cc6a,ssl.gstatic.com,1
28,5350,0x00008453,lh3.googleusercontent.com,28
30,5351,0x000023a6,lh3.googleusercontent.com,1
26,5352,0x00003ebe,ssl.gstatic.com,28
31,5354,0x0000529e,github.com,1
32,5355,0x0000502a,github.com,28
33,7151,0x00004761,github.githubassets.com,1
34,7152,0x00007490,github.githubassets.com,28
35,7849,0x000061f3,avatars3.githubusercontent.com,1
36,7850,0x0000a25e,avatars0.githubusercontent.com,1
37,7851,0x000017b8,avatars0.githubusercontent.com,28
38,8135,0x000017b8,avatars0.githubusercontent.com,28
36,8144,0x0000a25e,avatars0.githubusercontent.com,1
39,8148,0x000020a7,avatars3.githubusercontent.com,28
40,8152,0x0000f543,github.map.fastly.net,28
41,8199,0x0000fa07,live.github.com,1
42,8200,0x0000833c,live.github.com,28
43,8335,0x0000e806,www.google-analytics.com,1
44,8336,0x0000dfe6,www.google-analytics.com,28
45,8419,0x0000bee8,github.map.fastly.net,28
46,8421,0x0000833c,live.github.com,28
41,8423,0x0000fa07,live.github.com,1
47,8555,0x0000e806,www.google-analytics.com,1
44,8556,0x0000dfe6,www.google-analytics.com,28
46,8699,0x0000833c,live.github.com,28
48,8711,0x0000cf3f,live.github.com,1
49,9417,0x00005a29,collector.githubapp.com,1
50,9418,0x00000bcc,collector.githubapp.com,28
51,9565,0x00005a29,collector.githubapp.com,1
50,9566,0x00000bcc,collector.githubapp.com,28
52,9578,0x0000dfec,analytics-collector-28944298.us-east-1.elb.amazonaws.com,28
53,9845,0x00008861,avatars1.githubusercontent.com,1
54,9847,0x00007be3,avatars2.githubusercontent.com,1
55,9849,0x00002cd4,avatars2.githubusercontent.com,28
56,9866,0x0000db92,api.github.com,1
57,9867,0x0000dadf,api.github.com,28
58,9997,0x0000f149,github.map.fastly.net,28
59,10005,0x00007660,live.github.com,1
60,10035,0x0000dadf,api.github.com,28
61,10072,0x000068fe,live.github.com,1
