udp.stream,frame.number,dns.id,dns.qry.name,dns.resp.name,dns.resp.type,dns.a,dns.aaaa
0,805,0x00009954,clients1.google.com,clients1.google.com;clients.l.google.com,5;1,172.217.167.46,
0,806,0x00009954,clients1.google.com,clients1.google.com;clients.l.google.com,5;1,172.217.167.46,
1,808,0x000079b6,clients1.google.com,clients1.google.com;clients.l.google.com,5;28,,2404:6800:4002:80c::200e
2,1035,0x00009954,clients1.google.com,clients1.google.com;clients.l.google.com,5;1,172.217.167.206,
3,1056,0x000075f6,ac.duckduckgo.com,ac.duckduckgo.com;duckduckgo.com,5;1,13.232.66.4,
4,1058,0x00006554,ac.duckduckgo.com,ac.duckduckgo.com;duckduckgo.com,5;6,,
7,1065,0x0000aea0,duckduckgo.com,,,,
8,1380,0x00006c91,www.instagram.com,www.instagram.com;z-p42-instagram.c10r.facebook.com,5;1,157.240.198.174,
9,1381,0x0000a52e,www.instagram.com,www.instagram.com;z-p42-instagram.c10r.facebook.com,5;28,,2a03:2880:f244:e0:face:b00c:0:4420
10,1383,0x0000a52e,www.instagram.com,www.instagram.com;z-p42-instagram.c10r.facebook.com,5;28,,2a03:2880:f244:e0:face:b00c:0:4420
11,2587,0x00003dac,connect.facebook.net,connect.facebook.net;scontent.xx.fbcdn.net,5;1,157.240.198.15,
12,2594,0x00005175,connect.facebook.net,connect.facebook.net;scontent.xx.fbcdn.net,5;28,,2a03:2880:f044:10:face:b00c:0:3
13,2932,0x00007033,graph.instagram.com,graph.instagram.com;instagram.c10r.facebook.com,5;1,157.240.198.63,
14,2937,0x00009d3c,graph.instagram.com,graph.instagram.com;instagram.c10r.facebook.com,5;28,,2a03:2880:f244:ca:face:b00c:0:43fe
15,4194,0x00000a47,music.youtube.com,music.youtube.com;youtube-ui.l.google.com;youtube-ui.l.google.com;youtube-ui.l.google.com;youtube-ui.l.google.com;youtube-ui.l.google.com;youtube-ui.l.google.com;youtube-ui.l.google.com;youtube-ui.l.google.com;youtube-ui.l.google.com;youtube-ui.l.google.com;youtube-ui.l.google.com;youtube-ui.l.google.com;youtube-ui.l.google.com;youtube-ui.l.google.com,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1,172.217.167.206;172.217.27.174;172.217.167.238;216.58.196.110;216.58.200.174;172.217.31.14;216.58.196.206;216.58.221.46;172.217.160.238;172.217.161.14;172.217.166.206;172.217.167.14;172.217.167.46;172.217.166.14,
16,4199,0x000030fe,music.youtube.com,music.youtube.com;youtube-ui.l.google.com,5;28,,2404:6800:4002:804::200e
